season,model,forecast_date,reference_date,location,horizon,y_true,median,wis,mae
2022-23,patchtst,2023-02-18,2023-02-25,55,2,6.0,0.0,4.237771254829738,6.0
2022-23,patchtst,2023-02-18,2023-03-04,55,3,7.0,0.0,3.8968226822562837,7.0
2022-23,patchtst,2023-02-18,2023-03-11,55,4,10.0,0.0,5.471682838771654,10.0
2022-23,patchtst,2023-02-25,2023-02-25,55,1,6.0,0.0,3.9554104116688604,6.0
2022-23,patchtst,2023-02-25,2023-03-04,55,2,7.0,0.0,4.899425274392833,7.0
2022-23,patchtst,2023-02-25,2023-03-11,55,3,10.0,0.0,6.4541291411026664,10.0
2022-23,patchtst,2023-02-25,2023-03-18,55,4,6.0,0.0,4.476524943476138,6.0
2022-23,patchtst,2023-03-04,2023-03-04,55,1,7.0,0.0,3.473689316459324,7.0
2022-23,patchtst,2023-03-04,2023-03-11,55,2,10.0,0.0,5.96028610561205,10.0
2022-23,patchtst,2023-03-04,2023-03-18,55,3,6.0,0.0,4.219575948300569,6.0
2022-23,patchtst,2023-03-04,2023-03-25,55,4,9.0,0.0,6.586298907736073,9.0
2022-23,patchtst,2023-03-11,2023-03-11,55,1,10.0,0.0,4.086369609003483,10.0
2022-23,patchtst,2023-03-11,2023-03-18,55,2,6.0,0.0,4.798463844631029,6.0
2022-23,patchtst,2023-03-11,2023-03-25,55,3,9.0,0.0,5.804979321023693,9.0
2022-23,patchtst,2023-03-11,2023-04-01,55,4,4.0,0.0,3.3173694179369058,4.0
2022-23,patchtst,2023-03-18,2023-03-18,55,1,6.0,0.0,2.7769297193444293,6.0
2022-23,patchtst,2023-03-18,2023-03-25,55,2,9.0,0.0,5.528847934888757,9.0
2022-23,patchtst,2023-03-18,2023-04-01,55,3,4.0,0.0,2.9133875042459243,4.0
2022-23,patchtst,2023-03-18,2023-04-08,55,4,10.0,0.0,7.33075659710428,10.0
2022-23,patchtst,2023-03-25,2023-03-25,55,1,9.0,0.0,4.549228343134342,9.0
2022-23,patchtst,2023-03-25,2023-04-01,55,2,4.0,4.1582489013671875,3.1619724107825244,0.1582489013671875
2022-23,patchtst,2023-03-25,2023-04-08,55,3,10.0,0.0,6.494526854805325,10.0
2022-23,patchtst,2023-03-25,2023-04-15,55,4,9.0,2.73870849609375,3.6971366815981654,6.26129150390625
2022-23,patchtst,2023-04-01,2023-04-01,55,1,4.0,7.49822998046875,3.4906895148235813,3.49822998046875
2022-23,patchtst,2023-04-01,2023-04-08,55,2,10.0,7.4665679931640625,4.93284194946289,2.5334320068359375
2022-23,patchtst,2023-04-01,2023-04-15,55,3,9.0,0.0,6.292954877770465,9.0
2022-23,patchtst,2023-04-01,2023-04-22,55,4,5.0,15.896194458007812,5.929042026685632,10.896194458007812
2022-23,patchtst,2023-04-08,2023-04-08,55,1,10.0,3.461517333984375,4.693948928169583,6.538482666015625
2022-23,patchtst,2023-04-08,2023-04-15,55,2,9.0,3.92132568359375,3.811051539545474,5.07867431640625
2022-23,patchtst,2023-04-08,2023-04-22,55,3,5.0,0.0,4.77824355415676,5.0
2022-23,patchtst,2023-04-08,2023-04-29,55,4,0.0,8.709007263183594,5.43592385996943,8.709007263183594
2022-23,patchtst,2023-04-15,2023-04-15,55,1,9.0,0.0,5.192416667108951,9.0
2022-23,patchtst,2023-04-15,2023-04-22,55,2,5.0,2.394439697265625,3.4825680143936824,2.605560302734375
2022-23,patchtst,2023-04-15,2023-04-29,55,3,0.0,0.0,3.377574668552564,0.0
2022-23,patchtst,2023-04-15,2023-05-06,55,4,7.0,4.481468200683594,4.739670934262483,2.5185317993164062
2022-23,patchtst,2023-04-22,2023-04-22,55,1,5.0,2.7147979736328125,3.0368901327381965,2.2852020263671875
2022-23,patchtst,2023-04-22,2023-04-29,55,2,0.0,3.10125732421875,3.7763436989162282,3.10125732421875
2022-23,patchtst,2023-04-22,2023-05-06,55,3,7.0,0.0,5.162904530400816,7.0
2022-23,patchtst,2023-04-22,2023-05-13,55,4,5.0,11.065101623535156,6.2781786280092975,6.065101623535156
